artist,birth_date,birth_place,death_date,artist_age,title,winning_bid,low_est,high_est,auction_date,category,style,size,medium,area_or_vol,auction_dt_age
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,"Men Fighting for Sugar Cane, Botanic Sights 2",49174.0,31580.0,39480.0,2008-03-01,painting,figurative, 71 x 59.25 in, oil on canvas ,4206.75,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Man Riding Bitch in Dream Ground,7188.0,6000.0,7000.0,2008-03-01,painting,figurative, 30 x 32 in, oil on canvas ,960.0,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Men Waiting for Death in a Beach of Eternal Quest,5750.0,3750.0,5000.0,2007-09-01,painting,figurative, 13 x 37.5 in, inkjet on paper ,487.5,42.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Man Ascending the Mount of Pain -  Series: Tradition of death,10925.0,8750.0,11250.0,2007-09-01,painting,figurative, 31.5 x 52.5 in, oil on canvas ,1653.75,42.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,"Series: 18 Unique Pictures, Leopard Lock Prevalence of the Eternal Circle",52900.0,11250.0,13750.0,2007-09-01,painting,figurative, 36 x 59.5 in, oil on canvas ,2142.0,42.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,UNTITLED,228.0,365.0,510.0,2019-01-01,,, 16.5 x 11.75 in,pen on paper pasted on mountboard ,193.875,54.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,"MIND SCROLL. DETAIL. 2, 2005",540.0,580.0,870.0,2019-01-01,,, 35.5 x 27.25 in, watercolour on paper ,967.375,54.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,"MAN RUNNING AWAY FROM THE LAND OF MALICIOUS CONSTRUCTIONS, 2006",108.0,590.0,885.0,2018-07-01,,, 13 x 37.5 in, pen and pastel on paper pasted on board ,487.5,53.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,"WOOD CUTTERS RESTING (SERIES:MIND SCROLL), 2007",840.0,910.0,1215.0,2016-08-01,,, 21 x 58.75 in, watercolour on paper ,1233.75,51.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,"ALAN WITH A LUNAR HALO HOLDINGA TORNADO, 2001",2100.0,1215.0,1520.0,2016-08-01,,, 52.5 x 32 in, oil on canvas ,1680.0,51.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,UNTITLED,199.0,485.0,810.0,2015-05-01,,, 13 x 37 in, ink and pastel on paper pasted on board ,481.0,50.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,UNTITLED,780.0,485.0,650.0,2015-03-01,,, 23 x 22 in, watercolour on paper pasted on board ,506.0,50.0
navjot,1949-12-15,Meerut,,69.0,Sirha,9016.0,8200.0,11480.0,2015-04-07,sculpture,figurative,24 x 14 in, duco paint on wood ,336.0,65.0
navjot,1949-12-15,Meerut,,69.0,To Be Famous in Lille,4896.0,3575.0,5360.0,2013-06-01,sculpture,figurative, 24.5 x 36 in, fiberglass and paint ,882.0,63.0
navjot,1949-12-15,Meerut,,69.0,Loharpara Junction,5562.0,11540.0,15385.0,2013-02-01,photography,figurative, 9.5 x 11.5 in,photo prints on halide paper ,109.25,63.0
navjot,1949-12-15,Meerut,,69.0,Inner - Winner,12778.0,11115.0,13335.0,2010-06-01,sculpture,figurative, 22 x 20 in, fibreglass and paint ,440.0,60.0
navjot,1949-12-15,Meerut,,69.0,Untitled,6038.0,3750.0,5000.0,2008-09-01,print making,figurative, 15 x 23 in, digital c print on paper ,345.0,58.0
navjot,1949-12-15,Meerut,,69.0,To be Famous in Lille,,21060.0,23690.0,2008-03-01,sculpture,figurative, 25 x 37 in, fiberglass and paint ,925.0,58.0
navjot,1949-12-15,Meerut,,69.0,Inner - Winner,20125.0,17500.0,20000.0,2007-09-01,sculpture,figurative, 22 x 27 in, fiberglass and paint ,594.0,57.0
navjot,1949-12-15,Meerut,,69.0,a) Sukai b) Pancho's Sister c) Pancho,21563.0,12500.0,15000.0,2007-09-01,sculpture,figurative, a) height : 14 x 11.5 in, fiberglass and paint ,161.0,57.0
navjot,1949-12-15,Meerut,,69.0,Sukai,9900.0,3335.0,4440.0,2006-09-01,sculpture,figurative, 13.5 x 11 in, fiberglass and paint ,148.5,56.0
navjot,1949-12-15,Meerut,,69.0,Untitled,6083.0,2910.0,4070.0,2006-03-01,sculpture,figurative, 15 x 13 in," fiberglass, paint and metal ",195.0,56.0
navjot,1949-12-15,Meerut,,69.0,a) Masked 3 and b) Masked 2,,2910.0,4070.0,2006-03-01,painting,figurative, 12 x 12 in, oil on canvas ,144.0,56.0
navjot,1949-12-15,Meerut,,69.0,Les Miserables,1943.0,1900.0,2500.0,2002-12-01,painting,figurative, 52 x 40 in, oil on canvas ,2080.0,52.0
navjot,1949-12-15,Meerut,,69.0,"UNTITLED, 1989",480.0,955.0,1270.0,2018-01-01,,, 10 in x 14.75 in, mixed media on paper ,147.5,68.0
navjot,1949-12-15,Meerut,,69.0,"UNTITLED, 1993",2509.0,1565.0,3125.0,2017-04-01,,, 29 in x 21 in, mixed media on paper ,609.0,67.0
navjot,1949-12-15,Meerut,,69.0,"UNTITLED, 1986-87",17430.0,9840.0,13115.0,2015-01-01,,, 47 in x 70.5 in, oil on canvas ,3313.5,65.0
raqs media collective,,,,,One Four Four Zero,9540.0,8700.0,11595.0,2018-12-01,installation,still life,  25.25 x 25.25 in, transparent perspex ,637.5625,
sadequain,1930-01-01,"Amroha, British India",1987-02-10,57.0,Birds,30000.0,25000.0,35000.0,2017-12-01,painting,abstract, 45.25 x 35.5 in, oil on canvas ,1606.375,57.0
sadequain,1930-01-01,"Amroha, British India",1987-02-10,57.0,Untitled (Acrobats),2400.0,2000.0,3000.0,2012-11-01,drawing,, 14.5 x 21 in, pen and ink on paper ,304.5,57.0
sadequain,1930-01-01,"Amroha, British India",1987-02-10,57.0,Untitled (Composition),,2000.0,3000.0,2012-11-01,drawing,, 14.5 x 21 in, ink on paper ,304.5,57.0
surekha,1965-01-01,,,54.0,Eye of a needle- Fragrance of Jasmine,1770.0,1640.0,3280.0,2014-02-15,relief sculpture,still life, height: 42.5 x 7.5 in," fabric, thread and needle ",318.75,49.0
surekha,1965-01-01,,,54.0,Untitled,240.0,580.0,770.0,2013-02-01,photography,figurative, 30.5 x 25.4 cm, 12 x 10 in (each) ,774.6999999999999,48.0
surekha,1965-01-01,,,54.0,Spaces of Silence,120.0,375.0,560.0,2012-07-01,photography,figurative, 22 x 30.5 in, digital print on archival paper ,671.0,47.0
surekha,1965-01-01,,,54.0,Spaces of Silence,120.0,375.0,560.0,2012-07-01,photography,still life, 40 x 30.5 in, digital print on archival paper ,1220.0,47.0
surekha,1965-01-01,,,54.0,Spaces of Silence,120.0,280.0,335.0,2012-07-01,photography,still life, 15.5 x 11.5 in, digital print on archival paper ,178.25,47.0
surekha,1965-01-01,,,54.0,Spaces of Silence,120.0,280.0,335.0,2012-07-01,photography,, 15.5 x 11.5 in, digital print on archival paper ,178.25,47.0
ajeet .,,,,,MADHUBANI,90.0,425.0,595.0,2014-09-01,,, 21.5 x 14.5 in,acrylic on paper ,311.75,
aramugam .,,,,,"A) RAJNIKANT II  B) RAJNIKANT I, 2002",480.0,670.0,1000.0,2014-11-01,,, 72.5 x 22.5 in, oil on canvas ,1631.25,
balasubramanyam .,,,,,"UNTITLED, 1993",188.0,325.0,485.0,2015-05-01,,, 10.5 x 11 in, pen and ink and coloured pencil on paper ,115.5,
"deepak, kamal and sushil kumar .",,,,,"UNTITLED (KANGRA MINIATURE), a) 2014, b) 1994",360.0,540.0,695.0,2015-09-01,,, 9 x 12.5 in, natural colour on cardboard ,112.5,
pichhwai .,,,,,SHATRUNJAYA,867.0,1765.0,2210.0,2016-02-01,,, 95.75 x 59 in,stone colour on cloth ,5649.25,
pichhwai .,,,,,KAALI MAA,1002.0,1540.0,2310.0,2015-10-01,,, 63.5 x 44.5 in,stone colour on cloth ,2825.75,
shahjahan .,,,,,LADY WITH A MIRROR (KALIGHAT PAT),364.0,610.0,910.0,2016-09-01,,, 49.25 x 37.75 in,gouache on paper pasted on cloth  ,1859.1875,
suman .,,,,,"UNTITLED (KANGRA MINIATURE), 2014",120.0,185.0,235.0,2015-09-01,,, 9 x 13 in, natural colour on cardboard ,117.0,
sushil kumar and deepak .,,,,,"GEET GOVINDA (KANGRA MINIATURE), 2015",600.0,1385.0,1850.0,2015-09-01,,, 8 x 11.5 in, natural colour on cardboard ,92.0,
uttam .,,,,,UNTITLED,240.0,455.0,610.0,2016-09-01,,, 14.75 x 4.5 in,wood ,66.375,
jaishri abichandani,1969-01-01,Mumbai,,50.0,"DURGA YANTRA, 2000-01",300.0,1670.0,2500.0,2014-11-01,,, 45 in x 48 in, digital print and painting ,2160.0,45.0
bani abidi,1971-01-01,"Karachi, Pakistan",,48.0,Intercommunication Devices,10385.0,8655.0,10580.0,2012-11-01,photography,, 16 x 11 in, digital vector drawings on paper ,176.0,41.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Within,12727.0,10610.0,13640.0,2018-06-01,painting,figurative, 35.75 x 35.75 in, mixed media on canvas ,1278.0625,47.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Untitled,2220.0,2000.0,3000.0,2017-06-01,painting,figurative, 9.75 x 9.75 in, acrylic and resin on wood panel ,95.0625,46.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Oranges,4098.0,2460.0,3280.0,2015-04-07,painting,figurative, 12 x 12 in, synthetic polymer paint on wood ,144.0,44.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Untitled,1080.0,850.0,1020.0,2014-03-01,painting,figurative, 13.5 x 10 in, watercolour on paper ,135.0,43.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Untitled,,1020.0,1360.0,2014-03-01,painting,figurative, 4 x 6 in, watercolour on paper pasted on paper ,24.0,43.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,The Future is the Past is the Present,9012.0,6000.0,8000.0,2013-09-01,painting,figurative, 33 x 36 in, acrylic on canvas ,1188.0,42.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Uma,15060.0,6900.0,8625.0,2013-08-01,painting,figurative, 49 x 60 in, oil on canvas ,2940.0,42.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Untitled,1407.0,520.0,690.0,2013-08-01,painting,figurative, 6.5 x 4.5 in, watercolour on paper ,29.25,42.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,Untitled,1389.0,965.0,1155.0,2013-05-01,painting,figurative, 12 x 8.5 in, mixed media on paper ,102.0,42.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,"UNTITLED, 2007",726.0,740.0,885.0,2018-07-01,,, 13.75 x 9.75 in, watercolour on paper ,134.0625,47.0
dhruvi acharya,1971-01-01,Mumbai,,48.0,UNTITLED,1129.0,850.0,1020.0,2014-05-01,,, 14 in x 10 in,mixed media on paper pasted on board ,140.0,43.0
vijay achrekar,1967-01-01,Mumbai,,52.0,"UNTITLED, 2005",1610.0,2175.0,2900.0,2019-05-01,,, 42 x 41.75 in, acrylic on canvas ,1753.5,52.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Behind the Curtain,3948.0,3035.0,4550.0,2018-06-01,drawing,figurative, 23.25 x 15.5 in, charcoal on canvas board ,360.375,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,,9095.0,12125.0,2016-07-01,painting,, 17.5 x 10.5 in, marker on paper ,183.75,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,5700.0,4000.0,6000.0,2015-06-01,painting,abstract, 46 x 52 in, oil on canvas ,2392.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra-Incognita,5902.0,4920.0,6560.0,2015-04-15,painting,abstract, 35 x 47 in, oil on canvas ,1645.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra-Incognita,8852.0,6560.0,9840.0,2015-02-12,painting,abstract, 35.5 x 35 in, oil on canvas ,1242.5,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra-Incognita,8604.0,6670.0,10000.0,2014-12-01,painting,abstract, 35.5 x 35.5 in, oil on canvas ,1260.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Blues & Greens of Andaman,5100.0,4000.0,6000.0,2014-06-01,painting,abstract, 33.5 x 43.5 in, oil on canvas ,1457.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,"Jugs, Bottles and Fruits - I",2376.0,1530.0,2035.0,2014-03-01,painting,still life, 21.5 x 32 in, charcoal on acid free paper ,688.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra - Incognita,2522.0,3450.0,5175.0,2013-08-01,painting,abstract, 18.5 x 22.5 in, oil on canvas ,416.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,3660.0,4315.0,6035.0,2013-08-01,painting,abstract, 39 x 29 in, oil on canvas ,1131.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,5786.0,4465.0,6250.0,2013-06-01,painting,abstract, 30 x 30 in, oil on canvas ,900.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,7338.0,5290.0,6250.0,2013-05-01,painting,abstract, 36 x 36 in, oil on canvas ,1296.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,450.0,385.0,580.0,2013-05-01,painting,still life, 11 x 8 in, pen and ink on paper ,88.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra Incognita,9162.0,4810.0,6735.0,2013-03-01,painting,abstract, 35.5 x 35.5 in, oil on canvas ,1260.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,686.0,1890.0,2835.0,2013-01-01,drawing,figurative, 21 x 29 in, pen on paper ,609.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Nature,4036.0,4720.0,6605.0,2013-01-01,painting,abstract, 35.5 x 41.5 in, oil on canvas ,1473.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,7860.0,4500.0,6500.0,2013-01-01,painting,abstract, 38 x 37.5 in, oil on canvas ,1425.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,686.0,1890.0,2835.0,2013-01-01,drawing,figurative, 29 x 21 in, pen on paper ,609.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,12396.0,11325.0,15095.0,2012-12-01,painting,abstract, 71 x 35 in, oil on canvas ,2485.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,1080.0,1925.0,2885.0,2012-11-01,drawing,figurative, 27.5 x 21.5 in, pen on paper ,591.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,3171.0,3850.0,5770.0,2012-11-01,painting,abstract, 39.5 x 29 in, oil on canvas ,1145.5,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,,2780.0,3335.0,2012-08-01,drawing,figurative, 27.5 x 21.5 in, pen on paper ,591.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,2424.0,2315.0,3245.0,2012-08-01,drawing,figurative, 22 x 17 in, ink and wash on paper ,374.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,3989.0,3705.0,5560.0,2012-07-01,painting,abstract, 36 x 36 in, oil on canvas ,1296.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Still Life with a Clock,1200.0,930.0,1300.0,2012-07-01,drawing,still life, 12.5 x 19 in, ink and wash on paper pasted on board ,237.5,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,King,2784.0,2315.0,3245.0,2012-06-01,painting,figurative, 19 x 13 in, pen and ink on paper ,247.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,3852.0,3705.0,5560.0,2012-06-01,painting,abstract, 29.5 x 31.5 in, oil on canvas ,929.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,,800.0,1200.0,2012-05-01,drawing,still life, 15 x 11 in, sketchpen and ink on paper ,165.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,,500.0,700.0,2012-05-01,drawing,still life, 11.5 x 8 in, ink on paper ,92.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,2304.0,3065.0,5105.0,2012-04-01,painting,abstract, 23.5 x 23.5 in, oil on canvas ,552.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,1200.0,1430.0,1840.0,2012-04-01,drawing,figurative, 14 x 21 in, pen on paper ,294.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,1500.0,1430.0,1840.0,2012-04-01,drawing,figurative, 13 x 19 in, pen on paper ,247.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra Incognita,6049.0,5105.0,7145.0,2012-04-01,painting,abstract, 38 x 40 in, oil on canvas ,1520.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Terra Incognita,15720.0,9000.0,11000.0,2012-03-01,painting,abstract, 74.5 x 42.5 in, oil on canvas ,3166.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,4596.0,3575.0,4595.0,2012-02-01,drawing,figurative, 27 x 21 in, pen and ink on paper ,567.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,3396.0,3575.0,4595.0,2012-02-01,drawing,figurative, 29.5 x 21.5 in, pen and ink on paper ,634.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,6720.0,4000.0,6000.0,2012-01-01,painting,abstract, 30 x 30 in, oil on canvas ,900.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,"Jugs, Bottles and Fruits - I",2760.0,1400.0,1800.0,2012-01-01,painting,still life, 21.5 x 32 in, charcoal on acid free paper ,688.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Still Life,2040.0,1400.0,1800.0,2012-01-01,painting,still life, 23 x 35 in, charcoal on paper ,805.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,10032.0,4000.0,6000.0,2012-01-01,painting,abstract, 36 x 36 in, oil on canvas ,1296.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,8400.0,8000.0,10000.0,2011-12-01,painting,abstract, 67.5 x 29.5 in, oil on canvas ,1991.25,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Prince,5942.0,2875.0,4025.0,2011-04-01,drawing,figurative, 19 x 13.5 in, ink on handmade paper ,256.5,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,My Uncle at 99,4324.0,3450.0,4600.0,2011-04-01,drawing,figurative, 19 x 26 in, charcoal on paper ,494.0,70.0
k m adimoolam,1938-01-01,"Karpur, Trichy, Tamil Nadu",2008-01-01,70.0,Untitled,13421.0,13335.0,15560.0,2010-09-01,painting,abstract, 39.5 x 59 in, oil on canvas ,2330.5,70.0
